County,State,AvgP_Below_1.00x_FPL,AvgP_Below_1.50x_FPL,AvgP_Below_2.00x_FPL
ST. LUCIE,FL,10.81,20.29,30.13
SANTA ROSA,FL,7.38,13.86,21.23
SARASOTA,FL,5.71,10.96,17.56
SEMINOLE,FL,7.88,14.35,21.75
SUMTER,FL,5.04,9.50,16.17
SUWANNEE,FL,13.31,24.01,37.26
TAYLOR,FL,16.64,26.66,42.72
UNION,FL,17.57,24.87,36.51
VOLUSIA,FL,9.65,18.02,27.95
WAKULLA,FL,7.42,14.13,23.77
WALTON,FL,10.55,18.53,24.74
WASHINGTON,FL,17.66,29.85,42.06
APPLING,GA,17.57,30.91,41.31
ATKINSON,GA,25.20,40.83,50.77
BACON,GA,21.08,32.98,42.93
BAKER,GA,15.22,20.41,42.63
BALDWIN,GA,15.15,26.95,39.56
BANKS,GA,11.47,23.88,36.62
BARROW,GA,9.84,20.26,29.70
BARTOW,GA,10.52,21.12,33.04
BEN HILL,GA,26.65,34.01,50.65
BERRIEN,GA,19.27,33.41,43.79
BIBB,GA,20.35,30.09,39.39
BLECKLEY,GA,15.81,26.57,41.29
BRANTLEY,GA,20.34,33.69,47.82
BROOKS,GA,22.70,32.21,43.45
BRYAN,GA,10.97,15.84,23.37
BULLOCH,GA,17.86,28.03,38.50
BURKE,GA,20.45,32.00,42.88
BUTTS,GA,19.11,29.97,38.60
CALHOUN,GA,27.63,42.46,57.88
CAMDEN,GA,11.17,20.42,30.51
CANDLER,GA,27.31,42.23,51.48
CARROLL,GA,13.50,23.22,30.79
CATOOSA,GA,6.86,13.40,22.18
CHARLTON,GA,13.60,28.02,36.79
CHATHAM,GA,11.60,20.40,28.93
CHATTAHOOCHEE,GA,14.28,28.08,42.89
CHATTOOGA,GA,14.34,28.31,44.08
CHEROKEE,GA,5.95,10.34,16.59
CLARKE,GA,18.10,30.02,37.61
CLAY,GA,28.61,44.36,57.66
CLAYTON,GA,16.57,29.98,41.85
CLINCH,GA,34.27,43.75,49.09
COBB,GA,6.90,13.14,19.69
COFFEE,GA,18.57,28.58,42.07
COLQUITT,GA,20.34,34.55,45.19
COLUMBIA,GA,6.04,10.28,16.20
COOK,GA,18.54,30.96,42.84
COWETA,GA,9.03,13.79,22.79
CRAWFORD,GA,19.03,27.79,38.15
CRISP,GA,25.58,37.99,49.04
DADE,GA,10.64,17.80,29.62
DAWSON,GA,6.79,10.46,20.66
DECATUR,GA,21.28,31.25,40.30
DEKALB,GA,12.31,20.87,29.01
DODGE,GA,20.48,33.17,41.47
DOOLY,GA,21.46,32.33,44.20
DOUGHERTY,GA,24.31,34.94,45.91
DOUGLAS,GA,10.54,18.86,26.47
EARLY,GA,24.16,39.32,47.33
ECHOLS,GA,25.76,29.94,39.39
EFFINGHAM,GA,6.33,13.21,21.89
ELBERT,GA,15.30,25.96,40.53
EMANUEL,GA,18.75,32.10,45.38
EVANS,GA,22.74,35.23,44.45
FANNIN,GA,9.33,18.83,28.65
FAYETTE,GA,4.49,8.74,13.54
FLOYD,GA,14.81,23.57,34.34
FORSYTH,GA,4.38,7.44,11.59
FRANKLIN,GA,19.67,28.93,39.75
FULTON,GA,11.22,17.89,23.98
GILMER,GA,10.47,18.48,30.13
GLASCOCK,GA,14.70,25.41,28.85
GLYNN,GA,14.56,22.72,31.25
GORDON,GA,16.33,26.65,38.69
GRADY,GA,16.95,26.18,38.21
GREENE,GA,14.89,23.72,31.26
GWINNETT,GA,9.05,16.82,25.40
HABERSHAM,GA,11.03,18.75,30.46
HALL,GA,10.77,19.23,28.36
HANCOCK,GA,18.78,30.36,42.74
HARALSON,GA,13.77,23.03,34.09
HARRIS,GA,5.39,11.31,19.40
HART,GA,13.63,29.27,37.91
HEARD,GA,12.28,20.77,29.68
HENRY,GA,8.45,15.57,22.39
HOUSTON,GA,12.52,20.81,27.35
IRWIN,GA,15.31,31.55,39.76
JACKSON,GA,7.71,14.19,23.52
JASPER,GA,14.43,29.22,39.80
JEFF DAVIS,GA,18.56,32.26,47.57
JEFFERSON,GA,19.13,29.96,41.79
JENKINS,GA,20.21,34.83,44.86
JOHNSON,GA,16.56,24.58,41.98
JONES,GA,11.64,21.86,29.85
LAMAR,GA,16.49,24.40,32.52
LANIER,GA,20.61,30.22,43.80
LAURENS,GA,19.94,30.80,41.76
LEE,GA,9.22,14.63,20.98
LIBERTY,GA,14.74,27.91,42.48
LINCOLN,GA,17.72,22.79,34.39
LONG,GA,14.11,24.96,34.91
LOWNDES,GA,18.45,27.99,38.75
LUMPKIN,GA,8.99,19.87,28.40
MCDUFFIE,GA,20.46,31.29,38.27
MCINTOSH,GA,15.02,22.58,31.53
MACON,GA,22.33,33.59,43.89
MADISON,GA,12.71,23.02,33.71
MARION,GA,17.82,28.99,36.63
MERIWETHER,GA,16.06,29.12,42.53
MILLER,GA,17.18,23.89,32.35
MITCHELL,GA,18.22,32.05,47.51
MONROE,GA,10.31,18.17,26.89
MONTGOMERY,GA,16.46,26.42,36.67
MORGAN,GA,8.25,14.85,25.51
MURRAY,GA,12.12,23.45,36.96
MUSCOGEE,GA,16.07,25.56,35.18
NEWTON,GA,14.54,22.33,32.77
OCONEE,GA,4.87,9.29,15.59
OGLETHORPE,GA,13.51,24.78,34.86
PAULDING,GA,7.38,14.14,23.43
PEACH,GA,18.07,28.22,38.65
