County,State,AvgP_Below_1.00x_FPL,AvgP_Below_1.50x_FPL,AvgP_Below_2.00x_FPL
GRAND TRAVERSE,MI,6.57,12.14,20.79
GRATIOT,MI,13.83,22.49,32.29
HILLSDALE,MI,11.18,20.08,29.85
HOUGHTON,MI,8.81,18.15,28.45
HURON,MI,8.96,16.83,26.53
INGHAM,MI,11.78,18.94,27.20
IONIA,MI,9.44,16.61,26.15
IOSCO,MI,11.34,20.71,32.37
IRON,MI,7.44,17.91,27.33
ISABELLA,MI,11.76,19.71,28.66
JACKSON,MI,10.27,18.45,27.45
KALAMAZOO,MI,9.47,15.58,22.81
KALKASKA,MI,12.99,21.16,33.19
KENT,MI,8.21,15.24,23.23
KEWEENAW,MI,8.90,16.03,25.21
LAKE,MI,14.28,26.81,35.60
LAPEER,MI,7.17,14.43,21.70
LEELANAU,MI,2.54,7.53,15.28
LENAWEE,MI,8.37,15.48,23.55
LIVINGSTON,MI,3.70,6.73,11.75
LUCE,MI,10.11,17.26,31.19
MACKINAC,MI,11.43,20.13,28.67
MACOMB,MI,8.61,15.39,22.40
MANISTEE,MI,7.91,14.45,25.85
MARQUETTE,MI,8.77,15.36,22.02
MASON,MI,10.95,18.33,26.22
MECOSTA,MI,12.83,20.00,29.93
MENOMINEE,MI,9.05,15.97,26.40
MIDLAND,MI,7.26,14.22,20.79
MISSAUKEE,MI,11.24,21.17,33.08
MONROE,MI,7.23,13.16,20.71
MONTCALM,MI,12.25,20.84,31.59
MONTMORENCY,MI,11.46,20.03,33.78
MUSKEGON,MI,12.46,21.25,31.18
NEWAYGO,MI,13.17,22.22,32.11
OAKLAND,MI,5.79,9.97,15.05
OCEANA,MI,11.17,22.55,34.93
OGEMAW,MI,12.91,25.08,36.24
ONTONAGON,MI,10.05,18.82,28.99
OSCEOLA,MI,14.11,23.97,34.53
OSCODA,MI,12.35,20.33,32.08
OTSEGO,MI,9.60,18.74,27.97
OTTAWA,MI,4.69,9.57,16.31
PRESQUE ISLE,MI,9.67,15.51,24.48
ROSCOMMON,MI,13.34,20.96,33.73
SAGINAW,MI,12.65,20.82,29.63
ST. CLAIR,MI,9.56,15.78,22.92
ST. JOSEPH,MI,11.06,19.05,29.02
SANILAC,MI,10.79,20.48,31.96
SCHOOLCRAFT,MI,12.95,18.76,29.45
SHIAWASSEE,MI,8.58,15.69,23.41
TUSCOLA,MI,10.29,19.06,29.71
VAN BUREN,MI,10.34,19.98,27.81
WASHTENAW,MI,6.57,10.97,15.88
WAYNE,MI,17.84,27.07,35.81
WEXFORD,MI,11.53,22.58,32.32
AITKIN,MN,8.60,17.74,28.13
ANOKA,MN,4.20,8.52,13.92
BECKER,MN,8.30,14.36,22.10
BELTRAMI,MN,13.14,22.14,30.45
BENTON,MN,7.76,14.53,23.37
BIG STONE,MN,7.48,13.13,19.90
BLUE EARTH,MN,7.96,14.62,22.28
BROWN,MN,5.64,10.85,19.43
CARLTON,MN,6.11,12.74,20.10
CARVER,MN,2.08,4.19,7.26
CASS,MN,10.18,18.74,27.44
CHIPPEWA,MN,7.75,16.49,23.85
CHISAGO,MN,2.87,7.03,10.97
CLAY,MN,5.79,10.48,15.80
CLEARWATER,MN,12.37,21.22,32.46
COOK,MN,9.49,15.61,24.64
COTTONWOOD,MN,9.22,16.96,26.28
CROW WING,MN,7.03,14.63,21.75
DAKOTA,MN,4.27,8.05,12.83
DODGE,MN,3.71,8.88,16.47
DOUGLAS,MN,4.65,10.61,17.65
FARIBAULT,MN,8.26,14.16,22.05
FILLMORE,MN,6.26,10.92,18.59
FREEBORN,MN,8.78,16.49,24.94
GOODHUE,MN,6.27,10.58,16.20
GRANT,MN,6.66,14.39,25.03
HENNEPIN,MN,6.46,11.32,16.32
HOUSTON,MN,5.29,10.57,15.06
HUBBARD,MN,6.77,13.78,22.42
ISANTI,MN,4.58,9.40,15.72
ITASCA,MN,8.96,15.55,24.94
JACKSON,MN,4.70,13.17,21.46
KANABEC,MN,7.42,15.74,23.88
KANDIYOHI,MN,7.40,16.79,24.30
KITTSON,MN,5.23,12.74,21.77
KOOCHICHING,MN,10.10,17.04,24.37
LAC QUI PARLE,MN,6.12,12.94,23.54
LAKE,MN,4.73,9.76,18.66
LAKE OF THE WOODS,MN,6.65,13.80,20.45
LE SUEUR,MN,6.04,10.63,18.16
LINCOLN,MN,6.75,13.76,21.61
LYON,MN,10.00,16.19,23.83
MCLEOD,MN,4.87,12.50,20.16
MAHNOMEN,MN,13.84,27.12,36.56
MARSHALL,MN,4.97,10.36,18.24
MARTIN,MN,8.75,12.39,20.66
MEEKER,MN,3.65,10.77,17.45
MILLE LACS,MN,9.34,17.09,27.82
MORRISON,MN,7.28,14.24,23.56
MOWER,MN,7.23,16.21,23.60
MURRAY,MN,4.37,10.50,17.44
NICOLLET,MN,4.96,9.58,16.11
NOBLES,MN,9.98,18.12,29.09
NORMAN,MN,6.26,12.06,23.09
OLMSTED,MN,5.70,10.12,14.73
OTTER TAIL,MN,5.87,11.42,21.04
PENNINGTON,MN,6.53,12.78,20.08
PINE,MN,7.91,16.27,26.62
PIPESTONE,MN,7.75,14.79,25.22
POLK,MN,6.81,13.16,19.12
POPE,MN,4.17,9.57,16.54
RAMSEY,MN,10.13,17.14,23.75
RED LAKE,MN,5.46,11.98,19.12
REDWOOD,MN,7.88,13.84,25.72
RENVILLE,MN,6.18,11.26,19.89
RICE,MN,6.50,12.97,19.15
ROCK,MN,6.17,11.42,19.85
ROSEAU,MN,7.04,12.30,20.82
ST. LOUIS,MN,8.13,13.98,20.81
SCOTT,MN,4.23,7.05,11.36
SHERBURNE,MN,4.59,8.66,12.98
SIBLEY,MN,4.32,10.22,19.30
STEARNS,MN,7.08,13.36,20.39
STEELE,MN,6.61,12.47,18.68
STEVENS,MN,5.36,11.10,17.88
SWIFT,MN,9.76,18.57,25.24
TODD,MN,8.32,15.53,25.45
TRAVERSE,MN,10.76,15.27,23.92
WABASHA,MN,3.75,8.88,14.63
WADENA,MN,10.57,18.92,31.15
WASECA,MN,7.24,14.48,22.69
WASHINGTON,MN,3.30,6.40,10.36
WATONWAN,MN,9.46,16.53,25.63
WILKIN,MN,6.31,12.13,20.17
WINONA,MN,6.17,11.36,17.02
WRIGHT,MN,2.89,7.36,11.87
YELLOW MEDICINE,MN,10.26,15.19,23.32
ADAIR,MO,11.33,17.84,27.92
ANDREW,MO,6.01,15.26,23.93
ATCHISON,MO,6.25,13.52,25.27
AUDRAIN,MO,10.82,20.77,32.61
BARRY,MO,14.50,24.00,37.00
BARTON,MO,15.83,24.31,34.72
BATES,MO,8.43,19.17,31.02
BENTON,MO,12.08,20.77,33.54
BOLLINGER,MO,12.26,23.16,34.81
BOONE,MO,9.15,15.11,22.21
BUCHANAN,MO,12.57,20.32,29.07
BUTLER,MO,16.31,28.70,37.98
CALDWELL,MO,9.61,22.69,29.54
CALLAWAY,MO,9.62,15.26,22.83
CAMDEN,MO,11.52,17.74,24.29
CAPE GIRARDEAU,MO,8.97,15.45,23.71
CARROLL,MO,11.30,23.42,34.01
CARTER,MO,12.26,21.81,33.00
CASS,MO,7.10,11.86,19.05
CEDAR,MO,12.11,24.71,39.49
CHARITON,MO,7.53,17.55,26.99
CHRISTIAN,MO,6.81,15.41,24.18
CLARK,MO,8.32,17.20,27.85
CLAY,MO,5.34,10.72,17.08
CLINTON,MO,9.30,16.90,22.56
COLE,MO,7.96,14.48,21.12
COOPER,MO,7.40,16.92,27.65
CRAWFORD,MO,14.72,28.30,38.26
DADE,MO,14.47,25.71,39.80
DALLAS,MO,13.35,26.32,41.67
DAVIESS,MO,8.12,17.35,27.01
DEKALB,MO,10.26,18.83,28.08
DENT,MO,14.31,24.66,33.99
DOUGLAS,MO,14.83,32.44,48.95
DUNKLIN,MO,20.68,34.03,44.21
FRANKLIN,MO,7.99,14.44,23.04
GASCONADE,MO,6.56,12.98,21.91
GENTRY,MO,12.17,20.06,34.38
GREENE,MO,11.20,19.74,29.78
GRUNDY,MO,11.25,18.25,28.74
HARRISON,MO,15.12,25.43,36.48
HENRY,MO,14.37,22.16,30.43
HICKORY,MO,12.61,24.20,35.55
HOLT,MO,8.28,16.93,28.20
HOWARD,MO,9.42,20.72,29.44
HOWELL,MO,16.43,30.19,42.45
IRON,MO,16.78,25.68,43.01
JACKSON,MO,11.01,18.62,26.85
JASPER,MO,12.83,21.90,32.52
JEFFERSON,MO,7.69,13.53,20.75
JOHNSON,MO,7.65,14.77,25.68
KNOX,MO,12.92,19.38,32.80
LACLEDE,MO,11.77,24.78,35.09
LAFAYETTE,MO,8.97,17.08,27.08
LAWRENCE,MO,12.59,24.23,36.77
LEWIS,MO,8.53,16.49,25.58
LINCOLN,MO,9.57,17.78,27.19
LINN,MO,11.71,19.25,32.00
LIVINGSTON,MO,12.45,20.30,28.75
MCDONALD,MO,15.55,28.55,42.63
MACON,MO,10.91,21.98,36.29
MADISON,MO,11.09,22.27,35.56
MARIES,MO,8.51,15.44,27.46
MARION,MO,13.16,22.57,33.93
MERCER,MO,6.54,12.95,28.33
MILLER,MO,13.02,22.74,33.84
MISSISSIPPI,MO,21.98,39.32,52.45
MONITEAU,MO,8.62,14.84,27.40
MONROE,MO,9.65,21.25,28.27
MONTGOMERY,MO,12.34,24.06,33.71
MORGAN,MO,17.26,27.10,41.79
NEW MADRID,MO,19.22,32.56,44.35
NEWTON,MO,9.76,19.23,32.39
NODAWAY,MO,13.26,19.54,30.64
OREGON,MO,17.37,30.70,43.60
OSAGE,MO,2.74,9.03,18.94
OZARK,MO,18.19,32.00,42.50
PEMISCOT,MO,20.46,32.94,45.21
PERRY,MO,6.57,17.24,26.39
PETTIS,MO,12.41,22.75,35.24
PHELPS,MO,14.15,22.59,33.08
PIKE,MO,10.47,19.99,30.84
PLATTE,MO,4.49,8.61,14.04
POLK,MO,10.12,23.77,34.95
PULASKI,MO,11.24,18.68,29.07
PUTNAM,MO,14.76,27.33,36.90
RALLS,MO,8.02,13.85,20.79
RANDOLPH,MO,10.61,19.59,30.72
RAY,MO,9.29,13.46,20.02
REYNOLDS,MO,13.27,22.89,36.21
RIPLEY,MO,20.65,33.70,45.61
ST. CHARLES,MO,3.68,6.87,10.96
ST. CLAIR,MO,11.11,23.21,31.78
STE. GENEVIEVE,MO,13.00,19.75,25.90
ST. FRANCOIS,MO,11.41,19.48,31.11
ST. LOUIS,MO,6.74,11.96,18.41
SALINE,MO,9.98,21.35,31.18
SCHUYLER,MO,9.50,20.89,33.86
SCOTLAND,MO,10.69,22.97,33.17
SCOTT,MO,16.15,25.44,35.85
SHANNON,MO,21.86,32.50,44.31
SHELBY,MO,10.01,19.24,31.55
STODDARD,MO,10.14,20.84,36.07
STONE,MO,8.00,19.11,26.93
SULLIVAN,MO,10.54,22.87,36.90
TANEY,MO,12.42,23.40,35.05
TEXAS,MO,16.60,29.95,43.20
VERNON,MO,7.33,21.59,34.12
WARREN,MO,9.13,16.16,23.12
WASHINGTON,MO,16.90,27.49,45.82
WAYNE,MO,15.43,29.27,41.81
WEBSTER,MO,11.97,23.54,34.30
WORTH,MO,8.94,16.56,23.18
WRIGHT,MO,19.57,35.22,48.81
ST. LOUIS CITY,MO,18.57,29.46,38.14
ADAMS,MS,30.99,42.49,51.37
ALCORN,MS,13.88,27.64,38.99
AMITE,MS,22.27,31.04,46.29
ATTALA,MS,21.33,32.95,49.94
BENTON,MS,21.48,29.54,37.05
BOLIVAR,MS,27.89,41.01,50.74
CALHOUN,MS,18.56,29.92,39.20
CARROLL,MS,11.38,19.22,24.70
CHICKASAW,MS,18.68,31.27,45.01
CHOCTAW,MS,16.17,22.04,34.10
CLAIBORNE,MS,36.29,52.03,59.64
CLARKE,MS,15.23,24.34,35.29
CLAY,MS,19.50,33.53,44.89
COAHOMA,MS,28.09,45.01,54.28
COPIAH,MS,19.04,28.56,39.92
COVINGTON,MS,20.95,32.31,44.08
DESOTO,MS,6.46,13.29,20.56
FORREST,MS,18.16,28.08,38.79
FRANKLIN,MS,14.03,28.78,42.53
GEORGE,MS,9.43,18.61,31.79
GREENE,MS,10.57,17.54,27.63
GRENADA,MS,18.42,26.43,39.44
HANCOCK,MS,15.96,22.75,32.45
HARRISON,MS,16.53,26.92,36.32
HINDS,MS,17.03,27.32,37.01
HOLMES,MS,38.27,56.46,67.30
HUMPHREYS,MS,27.90,46.63,59.51
ISSAQUENA,MS,37.50,45.00,47.86
ITAWAMBA,MS,11.45,25.42,39.18
JACKSON,MS,11.78,18.92,28.45
JASPER,MS,19.86,31.14,42.19
JEFFERSON,MS,42.70,55.84,60.01
JEFFERSON DAVIS,MS,21.47,38.63,54.53
JONES,MS,16.64,27.79,36.26
KEMPER,MS,22.76,41.02,59.75
LAFAYETTE,MS,11.93,20.69,27.29
LAMAR,MS,11.16,17.65,26.12
LAUDERDALE,MS,16.87,29.21,39.76
LAWRENCE,MS,15.16,26.54,36.48
LEAKE,MS,19.77,35.61,47.13
LEE,MS,12.10,21.09,31.20
LEFLORE,MS,34.49,48.83,56.54
LINCOLN,MS,17.21,27.40,37.53
LOWNDES,MS,18.22,25.62,34.70
MADISON,MS,7.77,13.23,20.26
MARION,MS,23.30,37.07,49.36
MARSHALL,MS,14.21,25.48,35.03
MONROE,MS,12.52,23.24,34.69
MONTGOMERY,MS,23.45,32.87,46.82
NESHOBA,MS,19.03,31.53,43.37
NEWTON,MS,20.66,31.67,43.78
NOXUBEE,MS,27.23,35.18,49.78
OKTIBBEHA,MS,16.49,28.38,34.68
PANOLA,MS,16.34,30.34,44.50
PEARL RIVER,MS,12.89,20.57,31.38
PERRY,MS,13.61,31.40,39.66
PIKE,MS,27.76,39.02,48.37
PONTOTOC,MS,13.70,25.40,37.36
PRENTISS,MS,14.79,30.56,41.15
QUITMAN,MS,25.55,44.01,57.47
RANKIN,MS,5.53,13.72,21.83
SCOTT,MS,21.80,36.84,47.63
SHARKEY,MS,17.00,43.76,58.85
SIMPSON,MS,17.18,28.71,41.01
SMITH,MS,13.13,24.43,34.65
STONE,MS,12.68,23.24,39.08
SUNFLOWER,MS,25.75,39.71,54.62
TALLAHATCHIE,MS,25.21,39.07,53.18
TATE,MS,18.26,27.02,36.95
TIPPAH,MS,13.27,23.34,35.42
TISHOMINGO,MS,12.75,25.38,39.00
TUNICA,MS,19.70,33.94,51.31
UNION,MS,12.29,23.17,37.40
WALTHALL,MS,24.17,38.09,48.96
WARREN,MS,17.41,28.17,37.81
WASHINGTON,MS,28.06,40.11,51.84
WAYNE,MS,17.72,27.95,42.12
WEBSTER,MS,20.92,27.18,35.37
WILKINSON,MS,26.91,46.00,57.31
WINSTON,MS,18.61,32.06,44.56
YALOBUSHA,MS,11.54,24.33,35.10
YAZOO,MS,26.33,39.59,49.73
BEAVERHEAD,MT,5.58,12.51,23.15
BIG HORN,MT,22.46,34.99,48.55
BLAINE,MT,23.14,34.22,43.61
BROADWATER,MT,3.15,8.02,18.93
CARBON,MT,6.48,11.48,18.32
CARTER,MT,8.27,12.92,26.10
CASCADE,MT,8.86,16.86,27.66
CHOUTEAU,MT,14.25,24.41,35.59
CUSTER,MT,6.41,13.16,21.88
DANIELS,MT,2.52,13.18,15.89
DAWSON,MT,4.90,11.42,19.80
DEER LODGE,MT,12.38,24.25,30.73
FALLON,MT,6.78,13.19,18.00
FERGUS,MT,8.55,15.76,25.91
FLATHEAD,MT,6.75,14.78,22.67
GALLATIN,MT,5.06,10.10,17.74
GARFIELD,MT,2.84,14.83,28.08
GLACIER,MT,26.37,38.46,46.25
GOLDEN VALLEY,MT,12.04,20.83,34.72
GRANITE,MT,4.14,9.12,23.07
HILL,MT,15.08,23.45,35.05
JEFFERSON,MT,5.80,11.91,18.24
JUDITH BASIN,MT,9.03,19.59,32.88
LAKE,MT,14.66,22.73,32.23
LEWIS AND CLARK,MT,7.74,12.85,18.90
LIBERTY,MT,8.32,17.16,25.82
LINCOLN,MT,10.90,21.96,34.84
MCCONE,MT,5.97,11.09,24.52
MADISON,MT,6.26,11.66,23.72
MEAGHER,MT,5.68,15.50,27.51
MINERAL,MT,11.65,22.79,32.93
MISSOULA,MT,7.56,13.25,20.97
MUSSELSHELL,MT,11.99,24.59,32.56
PARK,MT,5.97,11.53,21.35
PETROLEUM,MT,10.00,20.00,28.18
PHILLIPS,MT,9.23,19.37,27.38
PONDERA,MT,16.29,21.96,30.36
POWDER RIVER,MT,7.79,19.67,23.16
POWELL,MT,12.44,19.57,24.46
PRAIRIE,MT,6.65,11.91,26.04
RAVALLI,MT,8.48,17.09,27.72
RICHLAND,MT,3.34,7.35,14.90
ROOSEVELT,MT,23.59,33.53,42.53
ROSEBUD,MT,11.87,19.70,27.58
SANDERS,MT,12.85,27.15,39.91
SHERIDAN,MT,5.97,11.83,21.36
SILVER BOW,MT,12.15,21.48,28.96
STILLWATER,MT,4.10,9.70,14.65
SWEET GRASS,MT,6.16,12.61,21.71
TETON,MT,6.05,15.19,24.58
TOOLE,MT,12.16,20.85,30.23
TREASURE,MT,12.69,18.08,35.00
VALLEY,MT,7.11,17.43,23.13
WHEATLAND,MT,13.59,28.19,37.32
WIBAUX,MT,11.80,27.53,38.48
YELLOWSTONE,MT,6.80,14.22,21.74
ALAMANCE,NC,12.69,22.22,32.04
ALEXANDER,NC,11.74,20.38,32.50
ALLEGHANY,NC,18.15,29.86,40.68
ANSON,NC,16.08,28.30,41.64
ASHE,NC,11.35,17.94,29.84
AVERY,NC,9.83,23.98,39.21
BEAUFORT,NC,13.64,23.09,31.86
BERTIE,NC,16.65,26.03,39.76
BLADEN,NC,20.74,33.33,46.12
BRUNSWICK,NC,8.98,14.95,23.52
BUNCOMBE,NC,7.30,15.77,24.17
BURKE,NC,13.77,23.24,34.66
CABARRUS,NC,7.74,14.19,22.96
CALDWELL,NC,13.16,23.42,35.53
CAMDEN,NC,8.52,13.75,24.37
CARTERET,NC,8.14,15.42,23.33
CASWELL,NC,13.34,19.46,29.83
CATAWBA,NC,9.49,17.75,28.45
CHATHAM,NC,8.50,15.20,22.37
CHEROKEE,NC,10.45,20.21,33.20
CHOWAN,NC,15.99,28.97,38.60
CLAY,NC,11.81,22.03,36.35
CLEVELAND,NC,16.02,26.36,37.50
COLUMBUS,NC,17.59,30.92,40.87
CRAVEN,NC,10.52,18.22,27.91
CUMBERLAND,NC,14.72,25.42,36.28
CURRITUCK,NC,6.62,13.39,20.95
DARE,NC,5.77,12.54,22.45
DAVIDSON,NC,11.74,21.78,31.42
DAVIE,NC,9.98,16.39,24.26
DUPLIN,NC,17.56,30.81,42.16
DURHAM,NC,11.91,18.79,26.05
EDGECOMBE,NC,19.29,33.45,45.39
FORSYTH,NC,12.67,21.18,29.82
FRANKLIN,NC,10.39,21.67,30.58
GASTON,NC,11.85,21.17,31.02
GATES,NC,8.48,14.66,26.53
GRAHAM,NC,14.40,25.70,42.50
GRANVILLE,NC,10.88,18.78,27.75
GREENE,NC,17.67,26.45,38.45
GUILFORD,NC,11.91,20.44,29.60
HALIFAX,NC,19.95,34.25,46.25
HARNETT,NC,12.82,22.43,33.20
HAYWOOD,NC,10.32,18.78,27.69
HENDERSON,NC,7.10,13.73,23.09
HERTFORD,NC,19.68,30.76,41.41
HOKE,NC,16.91,26.00,38.80
HYDE,NC,24.15,27.63,41.69
IREDELL,NC,9.05,15.62,24.57
JACKSON,NC,12.14,19.67,28.95
JOHNSTON,NC,9.64,19.49,28.50
JONES,NC,18.79,28.42,41.66
LEE,NC,11.84,24.07,33.57
LENOIR,NC,18.60,29.63,40.25
LINCOLN,NC,11.29,18.21,29.34
MCDOWELL,NC,13.12,22.77,36.78
MACON,NC,11.75,19.54,28.41
MADISON,NC,10.84,19.71,28.50
MARTIN,NC,13.02,25.95,35.05
MECKLENBURG,NC,9.32,16.24,23.51
MITCHELL,NC,9.31,19.16,27.35
MONTGOMERY,NC,14.47,25.11,36.05
MOORE,NC,8.14,15.37,22.31
NASH,NC,11.54,20.04,27.63
NEW HANOVER,NC,10.35,17.35,25.04
NORTHAMPTON,NC,17.42,31.86,44.04
ONSLOW,NC,10.92,22.02,35.26
ORANGE,NC,5.01,10.53,17.82
PAMLICO,NC,8.80,20.46,30.11
PASQUOTANK,NC,11.41,21.24,30.11
PENDER,NC,9.86,16.27,24.33
PERQUIMANS,NC,11.12,25.43,33.33
PERSON,NC,12.89,21.74,29.86
PITT,NC,14.98,23.29,32.89
POLK,NC,6.89,14.46,25.53
RANDOLPH,NC,11.28,21.72,32.48
RICHMOND,NC,19.80,32.32,43.06
ROBESON,NC,22.71,36.24,48.33
ROCKINGHAM,NC,14.25,23.29,34.01
ROWAN,NC,12.27,21.09,31.25
RUTHERFORD,NC,13.27,23.66,33.86
SAMPSON,NC,17.61,29.72,39.08
SCOTLAND,NC,24.46,33.66,44.73
STANLY,NC,10.14,18.38,30.28
STOKES,NC,11.45,18.69,27.86
SURRY,NC,11.38,23.93,34.79
SWAIN,NC,12.12,24.89,39.78
TRANSYLVANIA,NC,10.86,20.55,31.00
TYRRELL,NC,18.59,26.40,39.79
UNION,NC,6.45,12.16,18.90
VANCE,NC,17.99,30.75,41.05
WAKE,NC,6.49,11.74,17.55
WARREN,NC,12.52,23.74,35.72
WASHINGTON,NC,18.35,27.94,39.72
WATAUGA,NC,10.05,16.82,23.67
WAYNE,NC,16.96,27.14,38.11
WILKES,NC,15.45,25.13,35.05
WILSON,NC,16.34,26.49,35.19
YADKIN,NC,11.93,24.27,35.95
YANCEY,NC,14.83,24.25,37.65
ADAMS,ND,5.02,10.49,19.05
BARNES,ND,6.36,10.29,14.61
BENSON,ND,24.86,35.30,45.00
BILLINGS,ND,6.16,9.06,12.68
BOTTINEAU,ND,6.19,10.21,18.31
BOWMAN,ND,3.59,4.83,7.97
BURKE,ND,4.91,11.82,15.64
BURLEIGH,ND,4.76,8.75,13.05
CASS,ND,5.96,10.46,16.66
CAVALIER,ND,4.70,8.47,14.29
DICKEY,ND,4.32,11.97,18.06
DIVIDE,ND,7.10,13.02,14.94
DUNN,ND,6.71,9.31,18.53
EDDY,ND,10.68,20.72,23.70
EMMONS,ND,6.07,13.48,22.33
FOSTER,ND,5.27,10.65,17.56
GOLDEN VALLEY,ND,3.00,11.37,22.75
GRAND FORKS,ND,8.96,16.43,22.98
GRANT,ND,9.09,15.56,23.88
GRIGGS,ND,2.95,11.80,21.58
HETTINGER,ND,6.58,12.59,23.89
KIDDER,ND,10.57,18.41,31.20
LAMOURE,ND,9.26,15.22,19.46
LOGAN,ND,6.06,12.48,18.35
MCHENRY,ND,7.04,12.23,19.55
MCINTOSH,ND,5.49,12.72,19.83
MCKENZIE,ND,8.19,14.51,16.87
MCLEAN,ND,5.03,11.83,16.93
MERCER,ND,5.91,10.60,13.45
MORTON,ND,5.00,9.33,14.98
MOUNTRAIL,ND,5.95,11.47,18.70
NELSON,ND,7.10,12.85,19.71
OLIVER,ND,5.51,9.41,15.81
PEMBINA,ND,4.11,9.71,17.20
PIERCE,ND,14.14,18.98,30.75
RAMSEY,ND,6.14,9.53,15.53
RANSOM,ND,1.62,9.53,18.32
RENVILLE,ND,2.25,7.80,12.29
RICHLAND,ND,4.98,10.27,18.31
ROLETTE,ND,23.83,33.78,45.68
SARGENT,ND,2.28,6.16,10.97
SHERIDAN,ND,10.17,19.85,28.09
SIOUX,ND,30.49,43.54,52.80
SLOPE,ND,3.23,6.91,16.13
STARK,ND,5.68,9.92,14.35
STEELE,ND,3.28,7.10,10.56
STUTSMAN,ND,7.94,12.77,20.74
TOWNER,ND,8.29,15.21,23.20
TRAILL,ND,3.60,8.14,15.30
WALSH,ND,5.56,13.89,23.25
WARD,ND,4.86,9.30,15.78
WELLS,ND,2.79,7.96,14.78
WILLIAMS,ND,4.40,9.76,15.25
ADAMS,NE,7.70,15.68,23.57
ANTELOPE,NE,8.83,16.82,28.71
ARTHUR,NE,1.89,10.38,18.87
BANNER,NE,5.24,14.41,21.40
BLAINE,NE,7.28,13.25,18.54
BOONE,NE,3.51,11.90,19.71
BOX BUTTE,NE,7.05,13.00,23.67
BOYD,NE,6.59,14.63,22.99
BROWN,NE,11.17,26.21,31.31
BUFFALO,NE,8.38,15.80,22.49
BURT,NE,8.58,15.39,24.34
BUTLER,NE,7.03,13.87,20.54
CASS,NE,3.83,8.74,15.43
CEDAR,NE,4.56,9.66,17.16
CHASE,NE,4.76,12.08,16.67
CHERRY,NE,5.89,15.51,24.29
CHEYENNE,NE,7.14,13.96,19.58
CLAY,NE,6.98,16.43,25.53
COLFAX,NE,8.14,19.66,31.50
CUMING,NE,3.79,10.94,20.84
CUSTER,NE,7.93,17.27,29.47
DAKOTA,NE,13.87,21.60,33.50
DAWES,NE,12.91,16.95,23.40
DAWSON,NE,10.83,18.67,30.19
DEUEL,NE,6.33,15.01,22.42
DIXON,NE,8.47,13.37,22.54
DODGE,NE,8.47,15.20,25.44
DOUGLAS,NE,8.65,15.09,22.17
DUNDY,NE,6.03,23.35,40.11
FILLMORE,NE,8.97,14.06,23.03
FRANKLIN,NE,10.86,15.43,24.91
FRONTIER,NE,7.44,15.87,23.17
FURNAS,NE,7.15,14.98,22.73
GAGE,NE,5.18,10.78,21.69
GARDEN,NE,5.59,13.87,21.19
GARFIELD,NE,3.70,12.79,22.73
GOSPER,NE,3.26,5.66,14.75
GRANT,NE,10.61,22.73,35.35
GREELEY,NE,6.24,12.04,23.63
HALL,NE,10.65,20.46,28.97
HAMILTON,NE,3.79,8.66,15.38
HARLAN,NE,6.60,14.70,27.16
HAYES,NE,7.46,20.15,32.46
HITCHCOCK,NE,10.32,20.64,31.94
HOLT,NE,4.07,10.97,22.46
HOOKER,NE,9.55,10.67,19.10
HOWARD,NE,7.55,12.84,21.98
JEFFERSON,NE,6.27,17.55,33.96
JOHNSON,NE,7.17,14.18,25.62
KEARNEY,NE,6.17,13.06,18.32
KEITH,NE,7.91,15.52,23.56
KEYA PAHA,NE,3.07,11.40,21.93
KIMBALL,NE,6.47,20.83,30.43
KNOX,NE,7.00,13.40,24.63
LANCASTER,NE,8.07,14.06,20.75
LINCOLN,NE,8.70,14.58,22.79
LOGAN,NE,3.49,12.23,24.45
LOUP,NE,4.06,17.77,22.84
MCPHERSON,NE,12.23,16.55,23.02
MADISON,NE,10.60,15.97,24.68
MERRICK,NE,5.62,14.20,22.18
MORRILL,NE,4.26,14.87,28.40
NANCE,NE,6.53,13.78,23.98
NEMAHA,NE,8.55,13.90,25.17
NUCKOLLS,NE,5.67,13.82,25.84
OTOE,NE,8.01,13.09,23.26
PAWNEE,NE,11.37,19.87,28.76
PERKINS,NE,3.41,5.53,16.59
PHELPS,NE,4.75,10.73,17.28
PIERCE,NE,5.06,12.02,19.95
PLATTE,NE,6.12,11.63,19.62
POLK,NE,4.63,11.88,20.51
RED WILLOW,NE,7.24,15.75,24.97
RICHARDSON,NE,7.38,16.15,27.16
ROCK,NE,4.47,12.16,18.36
SALINE,NE,10.19,24.66,32.40
SARPY,NE,3.60,7.47,14.19
SAUNDERS,NE,5.36,8.87,15.62
SCOTTS BLUFF,NE,9.59,19.68,28.81
SEWARD,NE,4.06,11.19,17.80
SHERIDAN,NE,8.24,17.13,29.96
SHERMAN,NE,9.13,12.18,20.37
SIOUX,NE,10.05,19.33,27.84
STANTON,NE,8.20,14.94,21.56
THAYER,NE,6.38,12.90,21.91
THOMAS,NE,8.06,12.90,29.57
THURSTON,NE,21.70,33.91,44.51
VALLEY,NE,7.03,12.45,23.20
WASHINGTON,NE,6.26,10.17,15.55
WAYNE,NE,7.41,14.70,20.65
WEBSTER,NE,8.65,18.27,30.88
WHEELER,NE,7.26,21.37,25.64
YORK,NE,7.39,11.27,17.00
BELKNAP,NH,5.50,10.01,15.70
CARROLL,NH,4.82,11.72,19.90
